ref,text
048,І малі камінці роблять синці.
048,"Що малий пан вліпить, то й великий не відійме."
048,"Рад бідняк пану, як сирота трясці."
049,Пан собакою був собача й йому й смерть.
049,"Ліпше бути чоловіком, чим багачем."
049,Заліз в багатство забув і братство.
049,"Забагатів Кіндрат забув, де його і брат."
049,Мужик багатий як віл рогатий.
049,"Сякий-такий торгаш, та все їст калач, а хлібороб хліб робить і хліба вволю не їст."
049,"Купець бере торгом, піп горлом, а мужик горбом."
049,"Не похвалиш не продаси, не погудиш не купиш."
049,"Крамареві не божиться, то ніколи не розжиться."
049,"Купля руки пече, а продаж гріє."
049,Що ступить - то лупить.
050,"Не йди в суд з одним носом, а йди з підносом."
050,"В суд ногою, а в гаманець рукою."
050,В суд ногою - в кишеню рукою.
050,"Як ідеш у суд, гроші не забудь."
